City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Guarapari,BR,72.9,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
601,Ambulu,ID,76.35,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
602,Mlimba,TZ,71.02,light rain,-8.8,35.8167,California Lodge
607,Takoradi,GH,80.83,light rain,4.8845,-1.7554,Raybow International Hotel
608,Johi,PK,76.86,clear sky,26.6921,67.6133,Haji Fareed/ Abdul Qyoum Rodnani OTAQUE
614,Mahibadhoo,MV,82.54,clear sky,3.7833,72.9667,Omadhoo Inn
618,Sabang,ID,82.51,overcast clouds,5.8933,95.3214,Hotel Citra
622,Maraba,BR,74.21,overcast clouds,-5.3686,-49.1178,Hotel Del Principe
623,Vung Tau,VN,79.39,overcast clouds,10.345999999999998,107.0843,Seaside Resort
625,Touros,BR,79.43,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
628,Muisne,EC,78.87,broken clouds,0.6,-80.0333,Quinta Samay
630,Blythe,US,77.04,scattered clouds,33.6103,-114.5964,Rodeway Inn & Suites
631,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
632,Pemangkat,ID,76.33,overcast clouds,1.1667,108.9667,Ramah Kost KITA
635,Morgan City,US,73.99,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
639,Turbat,PK,73.65,clear sky,26.0023,63.044,Mubashar Quarters
644,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
645,Sao Gabriel Da Cachoeira,BR,74.34,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
654,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
655,Fort Wellington,GY,76.8,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
658,Bien Hoa,VN,80.58,overcast clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
660,Jau,BR,73.92,scattered clouds,-22.2964,-48.5578,Hotel Jau
661,Chake Chake,TZ,77.29,clear sky,-5.2459,39.7666,Hotel Archipelago
663,Laguna,US,81.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
669,Santa Marta,CO,83.89,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
670,Chowchilla,US,73.74,clear sky,37.123000000000005,-120.2602,Days Inn by Wyndham Chowchilla Gateway to Yosemite
672,Mapastepec,MX,87.19,few clouds,15.4333,-92.9,Hotel San Carlos
674,Sankarpur,IN,80.55,few clouds,22.8481,88.4553,ললিতা ভবন( LOLITA BHAWAN)
676,Ewa Beach,US,85.37,few clouds,21.3156,-158.0072,Base Lodging
678,Fenoarivo Atsinanana,MG,74.07,overcast clouds,-17.3667,49.4167,L'Oasis Lodge
679,Joao Pinheiro,BR,71.96,broken clouds,-17.7425,-46.1725,Hotel Santos
681,Auki,SB,85.17,broken clouds,-8.7676,160.7034,Auki Motel
688,Alyangula,AU,85.53,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
692,Butterworth,MY,80.64,few clouds,5.3991,100.3638,Cititel Penang
694,Parrita,CR,83.57,broken clouds,9.5201,-84.3225,Beso del Viento
695,Inirida,CO,75.25,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
697,Maunabo,PR,78.71,clear sky,18.0072,-65.8993,Maunacaribe
